OrderID;Order Date;Product Name;Unit Sold;Unit Price;Category;Supplier Name;Supplier City;Supplier Country;Units In Stock;Units On Order;Reorder Level
10248;04/07/1996;Queso Cabrales;12;21;Dairy Products;Cooperativa de Quesos 'Las Cabras';Oviedo;Spain;22;30;30
10248;04/07/1996;Singaporean Hokkien Fried Mee;10;14;Grains/Cereals;Leka Trading;Singapore;Singapore;26;0;0
10248;04/07/1996;Mozzarella di Giovanni;5;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10249;05/07/1996;Tofu;9;23,25;Produce;Mayumi's;Osaka;Japan;35;0;0
10249;05/07/1996;Manjimup Dried Apples;40;53;Produce;G'day, Mate;Sydney;Australia;20;0;10
10250;08/07/1996;Jack's New England Clam Chowder;10;9,65;Seafood;New England Seafood Cannery;Boston;USA;85;0;10
10250;08/07/1996;Manjimup Dried Apples;35;53;Produce;G'day, Mate;Sydney;Australia;20;0;10
10250;08/07/1996;Louisiana Fiery Hot Pepper Sauce;15;21,05;Condiments;New Orleans Cajun Delights;New Orleans;USA;76;0;0
10251;08/07/1996;Gustaf's Knäckebröd;6;21;Grains/Cereals;PB Knäckebröd AB;Göteborg;Sweden;104;0;25
10251;08/07/1996;Ravioli Angelo;15;19,5;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;36;0;20
10251;08/07/1996;Louisiana Fiery Hot Pepper Sauce;20;21,05;Condiments;New Orleans Cajun Delights;New Orleans;USA;76;0;0
10252;09/07/1996;Sir Rodney's Marmalade;40;81;Confections;Specialty Biscuits, Ltd.;Manchester;UK;40;0;0
10252;09/07/1996;Geitost;25;2,5;Dairy Products;Norske Meierier;Sandvika;Norway;112;0;20
10252;09/07/1996;Camembert Pierrot;40;34;Dairy Products;Gai pâturage;Annecy;France;19;0;0
10253;10/07/1996;Gorgonzola Telino;20;12,5;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;0;70;20
10253;10/07/1996;Chartreuse verte;42;18;Beverages;Aux joyeux ecclésiastiques;Paris;France;69;0;5
10253;10/07/1996;Maxilaku;40;20;Confections;Karkki Oy;Lappeenranta;Finland;10;60;15
10254;11/07/1996;Guaraná Fantástica;15;4,5;Beverages;Refrescos Americanas LTDA;Sao Paulo;Brazil;20;0;0
10254;11/07/1996;Pâté chinois;21;24;Meat/Poultry;Ma Maison;Montréal;Canada;115;0;20
10254;11/07/1996;Longlife Tofu;21;10;Produce;Tokyo Traders;Tokyo;Japan;4;20;5
10255;12/07/1996;Chang;20;19;Beverages;Exotic Liquids;London;UK;17;40;25
10255;12/07/1996;Pavlova;35;17,45;Confections;Pavlova, Ltd.;Melbourne;Australia;29;0;10
10255;12/07/1996;Inlagd Sill;25;19;Seafood;Svensk Sjöföda AB;Stockholm;Sweden;112;0;20
10255;12/07/1996;Raclette Courdavault;30;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10256;15/07/1996;Perth Pasties;15;32,8;Meat/Poultry;G'day, Mate;Sydney;Australia;0;0;0
10256;15/07/1996;Original Frankfurter grüne Soße;12;13;Condiments;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;32;0;15
10257;16/07/1996;Schoggi Schokolade;25;43,9;Confections;Heli Süßwaren GmbH & Co. KG;Berlin;Germany;49;0;30
10257;16/07/1996;Chartreuse verte;6;18;Beverages;Aux joyeux ecclésiastiques;Paris;France;69;0;5
10257;16/07/1996;Original Frankfurter grüne Soße;15;13;Condiments;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;32;0;15
10258;17/07/1996;Chang;50;19;Beverages;Exotic Liquids;London;UK;17;40;25
10258;17/07/1996;Chef Anton's Gumbo Mix;65;21,35;Condiments;New Orleans Cajun Delights;New Orleans;USA;0;0;0
10258;17/07/1996;Mascarpone Fabioli;6;32;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;9;40;25
10259;18/07/1996;Sir Rodney's Scones;10;10;Confections;Specialty Biscuits, Ltd.;Manchester;UK;3;40;5
10259;18/07/1996;Gravad lax;1;26;Seafood;Svensk Sjöföda AB;Stockholm;Sweden;11;50;25
10260;19/07/1996;Jack's New England Clam Chowder;16;9,65;Seafood;New England Seafood Cannery;Boston;USA;85;0;10
10260;19/07/1996;Ravioli Angelo;50;19,5;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;36;0;20
10260;19/07/1996;Tarte au sucre;15;49,3;Confections;Forêts d'érables;Ste-Hyacinthe;Canada;17;0;0
10260;19/07/1996;Outback Lager;21;15;Beverages;Pavlova, Ltd.;Melbourne;Australia;15;10;30
10261;19/07/1996;Sir Rodney's Scones;20;10;Confections;Specialty Biscuits, Ltd.;Manchester;UK;3;40;5
10261;19/07/1996;Steeleye Stout;20;18;Beverages;Bigfoot Breweries;Bend;USA;20;0;15
10262;22/07/1996;Chef Anton's Gumbo Mix;12;21,35;Condiments;New Orleans Cajun Delights;New Orleans;USA;0;0;0
10262;22/07/1996;Uncle Bob's Organic Dried Pears;15;30;Produce;Grandma Kelly's Homestead;Ann Arbor;USA;15;0;10
10262;22/07/1996;Gnocchi di nonna Alice;2;38;Grains/Cereals;Pasta Buttini s.r.l.;Salerno;Italy;21;10;30
10263;23/07/1996;Pavlova;60;17,45;Confections;Pavlova, Ltd.;Melbourne;Australia;29;0;10
10263;23/07/1996;Guaraná Fantástica;28;4,5;Beverages;Refrescos Americanas LTDA;Sao Paulo;Brazil;20;0;0
10263;23/07/1996;Nord-Ost Matjeshering;60;25,89;Seafood;Nord-Ost-Fisch Handelsgesellschaft mbH;Cuxhaven;Germany;10;0;15
10263;23/07/1996;Longlife Tofu;36;10;Produce;Tokyo Traders;Tokyo;Japan;4;20;5
10264;24/07/1996;Chang;35;19;Beverages;Exotic Liquids;London;UK;17;40;25
10264;24/07/1996;Jack's New England Clam Chowder;25;9,65;Seafood;New England Seafood Cannery;Boston;USA;85;0;10
10265;25/07/1996;Alice Mutton;30;39;Meat/Poultry;Pavlova, Ltd.;Melbourne;Australia;0;0;0
10265;25/07/1996;Outback Lager;20;15;Beverages;Pavlova, Ltd.;Melbourne;Australia;15;10;30
10266;26/07/1996;Queso Manchego La Pastora;12;38;Dairy Products;Cooperativa de Quesos 'Las Cabras';Oviedo;Spain;86;0;0
10267;29/07/1996;Boston Crab Meat;50;18,4;Seafood;New England Seafood Cannery;Boston;USA;123;0;30
10267;29/07/1996;Raclette Courdavault;70;55;Dairy Products;Gai pâturage;Annecy;France;79;0;0
10267;29/07/1996;Lakkalikööri;15;18;Beverages;Karkki Oy;Lappeenranta;Finland;57;0;20
10268;30/07/1996;Thüringer Rostbratwurst;10;123,79;Meat/Poultry;Plutzer Lebensmittelgroßmärkte AG;Frankfurt;Germany;0;0;0
10268;30/07/1996;Mozzarella di Giovanni;4;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
10269;31/07/1996;Geitost;60;2,5;Dairy Products;Norske Meierier;Sandvika;Norway;112;0;20
10269;31/07/1996;Mozzarella di Giovanni;20;34,8;Dairy Products;Formaggi Fortini s.r.l.;Ravenna;Italy;14;0;0
