OrderID;Product;Category;Quantity;RequiredDate;ShippedDate;DayDiff;Freight;Supplier Name;ShipName;ShipCity;ShipCountry
10248;Queso Cabrales;Dairy Products;12;1996-08-01 00:00:00.000;1996-07-16 00:00:00.000;-16;32,38;Federal Shipping;Vins et alcools Chevalier;Reims;France
10248;Singaporean Hokkien Fried Mee;Grains/Cereals;10;1996-08-01 00:00:00.000;1996-07-16 00:00:00.000;-16;32,38;Federal Shipping;Vins et alcools Chevalier;Reims;France
10248;Mozzarella di Giovanni;Dairy Products;5;1996-08-01 00:00:00.000;1996-07-16 00:00:00.000;-16;32,38;Federal Shipping;Vins et alcools Chevalier;Reims;France
10249;Tofu;Produce;9;1996-08-16 00:00:00.000;1996-07-10 00:00:00.000;-37;11,61;Speedy Express;Toms Spezialitäten;Münster;Germany
10249;Manjimup Dried Apples;Produce;40;1996-08-16 00:00:00.000;1996-07-10 00:00:00.000;-37;11,61;Speedy Express;Toms Spezialitäten;Münster;Germany
10250;Jack's New England Clam Chowder;Seafood;10;1996-08-05 00:00:00.000;1996-07-12 00:00:00.000;-24;65,83;United Package;Hanari Carnes;Rio de Janeiro;Brazil
10250;Manjimup Dried Apples;Produce;35;1996-08-05 00:00:00.000;1996-07-12 00:00:00.000;-24;65,83;United Package;Hanari Carnes;Rio de Janeiro;Brazil
10250;Louisiana Fiery Hot Pepper Sauce;Condiments;15;1996-08-05 00:00:00.000;1996-07-12 00:00:00.000;-24;65,83;United Package;Hanari Carnes;Rio de Janeiro;Brazil
10251;Gustaf's Knäckebröd;Grains/Cereals;6;1996-08-05 00:00:00.000;1996-07-15 00:00:00.000;-21;41,34;Speedy Express;Victuailles en stock;Lyon;France
10251;Ravioli Angelo;Grains/Cereals;15;1996-08-05 00:00:00.000;1996-07-15 00:00:00.000;-21;41,34;Speedy Express;Victuailles en stock;Lyon;France
10251;Louisiana Fiery Hot Pepper Sauce;Condiments;20;1996-08-05 00:00:00.000;1996-07-15 00:00:00.000;-21;41,34;Speedy Express;Victuailles en stock;Lyon;France
10252;Sir Rodney's Marmalade;Confections;40;1996-08-06 00:00:00.000;1996-07-11 00:00:00.000;-26;51,3;United Package;Suprêmes délices;Charleroi;Belgium
10252;Geitost;Dairy Products;25;1996-08-06 00:00:00.000;1996-07-11 00:00:00.000;-26;51,3;United Package;Suprêmes délices;Charleroi;Belgium
10252;Camembert Pierrot;Dairy Products;40;1996-08-06 00:00:00.000;1996-07-11 00:00:00.000;-26;51,3;United Package;Suprêmes délices;Charleroi;Belgium
10253;Gorgonzola Telino;Dairy Products;20;1996-07-24 00:00:00.000;1996-07-16 00:00:00.000;-8;58,17;United Package;Hanari Carnes;Rio de Janeiro;Brazil
10253;Chartreuse verte;Beverages;42;1996-07-24 00:00:00.000;1996-07-16 00:00:00.000;-8;58,17;United Package;Hanari Carnes;Rio de Janeiro;Brazil
10253;Maxilaku;Confections;40;1996-07-24 00:00:00.000;1996-07-16 00:00:00.000;-8;58,17;United Package;Hanari Carnes;Rio de Janeiro;Brazil
10254;Guaraná Fantástica;Beverages;15;1996-08-08 00:00:00.000;1996-07-23 00:00:00.000;-16;22,98;United Package;Chop-suey Chinese;Bern;Switzerland
10254;Pâté chinois;Meat/Poultry;21;1996-08-08 00:00:00.000;1996-07-23 00:00:00.000;-16;22,98;United Package;Chop-suey Chinese;Bern;Switzerland
10254;Longlife Tofu;Produce;21;1996-08-08 00:00:00.000;1996-07-23 00:00:00.000;-16;22,98;United Package;Chop-suey Chinese;Bern;Switzerland
10255;Chang;Beverages;20;1996-08-09 00:00:00.000;1996-07-15 00:00:00.000;-25;148,33;Federal Shipping;Richter Supermarkt;Genève;Switzerland
10255;Pavlova;Confections;35;1996-08-09 00:00:00.000;1996-07-15 00:00:00.000;-25;148,33;Federal Shipping;Richter Supermarkt;Genève;Switzerland
10255;Inlagd Sill;Seafood;25;1996-08-09 00:00:00.000;1996-07-15 00:00:00.000;-25;148,33;Federal Shipping;Richter Supermarkt;Genève;Switzerland
10255;Raclette Courdavault;Dairy Products;30;1996-08-09 00:00:00.000;1996-07-15 00:00:00.000;-25;148,33;Federal Shipping;Richter Supermarkt;Genève;Switzerland
10256;Perth Pasties;Meat/Poultry;15;1996-08-12 00:00:00.000;1996-07-17 00:00:00.000;-26;13,97;United Package;Wellington Importadora;Resende;Brazil
10256;Original Frankfurter grüne Soße;Condiments;12;1996-08-12 00:00:00.000;1996-07-17 00:00:00.000;-26;13,97;United Package;Wellington Importadora;Resende;Brazil
10257;Schoggi Schokolade;Confections;25;1996-08-13 00:00:00.000;1996-07-22 00:00:00.000;-22;81,91;Federal Shipping;HILARION-Abastos;San Cristóbal;Venezuela
10257;Chartreuse verte;Beverages;6;1996-08-13 00:00:00.000;1996-07-22 00:00:00.000;-22;81,91;Federal Shipping;HILARION-Abastos;San Cristóbal;Venezuela
10257;Original Frankfurter grüne Soße;Condiments;15;1996-08-13 00:00:00.000;1996-07-22 00:00:00.000;-22;81,91;Federal Shipping;HILARION-Abastos;San Cristóbal;Venezuela
10258;Chang;Beverages;50;1996-08-14 00:00:00.000;1996-07-23 00:00:00.000;-22;140,51;Speedy Express;Ernst Handel;Graz;Austria
10258;Chef Anton's Gumbo Mix;Condiments;65;1996-08-14 00:00:00.000;1996-07-23 00:00:00.000;-22;140,51;Speedy Express;Ernst Handel;Graz;Austria
10258;Mascarpone Fabioli;Dairy Products;6;1996-08-14 00:00:00.000;1996-07-23 00:00:00.000;-22;140,51;Speedy Express;Ernst Handel;Graz;Austria
10259;Sir Rodney's Scones;Confections;10;1996-08-15 00:00:00.000;1996-07-25 00:00:00.000;-21;3,25;Federal Shipping;Centro comercial Moctezuma;México D.F.;Mexico
10259;Gravad lax;Seafood;1;1996-08-15 00:00:00.000;1996-07-25 00:00:00.000;-21;3,25;Federal Shipping;Centro comercial Moctezuma;México D.F.;Mexico
10260;Jack's New England Clam Chowder;Seafood;16;1996-08-16 00:00:00.000;1996-07-29 00:00:00.000;-18;55,09;Speedy Express;Ottilies Käseladen;Köln;Germany
10260;Ravioli Angelo;Grains/Cereals;50;1996-08-16 00:00:00.000;1996-07-29 00:00:00.000;-18;55,09;Speedy Express;Ottilies Käseladen;Köln;Germany
